name,price,chef,restaurant
Fried Rice,88.00,David Wong,Happy Cafe
Sweet Sour Pork,98.00,Mary Lee,Golden Dragon
Chicken Curry,78.00,John Chan,Harbour View
Beef Noodles,68.00,Peter Lau,Sunshine Restaurant
Fish Fillet Rice,72.00,Amy Wong,Ocean Delight
Spring Rolls,45.00,Michael Chan,Dragon Palace
Wonton Soup,38.00,Susan Lee,Lucky Garden
Bbq Pork Rice,85.00,Kenneth Ng,City Diner
Seafood Fried Noodles,95.00,David Wong,Harbour Kitchen
Mango Pudding,32.00,Mary Lee,Golden Harvest
Chicken Steak,128.00,Alice Ho,Moonlight Cafe
Seafood Pizza,138.00,Brian Cheng,Star Bistro
Mushroom Soup,58.00,Catherine Lam,Green Garden
Grilled Salmon,168.00,Daniel Yeung,Royal Kitchen
Vegetable Pasta,88.00,Emily Kwok,Mountain View Cafe
Fish Burger,78.00,Frankie Tam,Silver Spoon
Roast Duck Rice,98.00,Grace Chiu,East Coast Restaurant
Beef Steak,188.00,Henry Fung,Skyline Dining
Seafood Risotto,148.00,Irene Ko,Pearl Harbour Cafe
Chocolate Cake,52.00,Jason Yip,Victoria Restaurant
Test Dish,99.00,Henry Test,Happy Cafe
